ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,Year,ASC1_Measure_Rate,ASC1_Footnote,ASC2_Measure_Rate,ASC2_Footnote,ASC3_Measure_Rate,ASC3_Footnote,ASC4_Measure_Rate,ASC4_Footnote,ASC5_Measure_Rate,ASC5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC9_Footnote,ASC_10_rate,ASC10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date
"Texas Orthopedics Surgery Center, LLC",45C0001307,1366416125,Austin,TX,78759,2014,0.000,,0.000,,0.000,,0.000,,996.64,,01/01/2014,12/31/2014,Yes,,6417,0,0,3665,44,0,0,2708,0,,01/01/2014,12/31/2014,75.94,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Kirby Surgical Center,45C0001382,1366521643,Houston,TX,77054,2014,0.000,,0.000,,0.000,,0.000,,999.06,,01/01/2014,12/31/2014,Yes,,5709,10,0,431,9,0,0,5224,35,,01/01/2014,12/31/2014,96.49,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Memorial Hermann Surgery Center Richmond,45C0001421,1366776106,Richmond,TX,77469,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2649,0,0,761,0,0,0,1888,0,,01/01/2014,12/31/2014,97.44,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Dehaven Surgical Center, Inc",45C0001013,1376540096,Tyler,TX,75702,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3375,0,3375,0,0,0,0,0,0,,01/01/2014,12/31/2014,80.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Central Park Surgery Center,45C0001437,1376591156,Arlington,TX,76014,2014,18.587,,18.587,,18.587,,0.000,,919.35,,01/01/2014,12/31/2014,Yes,,7107,2221,30,1363,1,0,0,966,2526,,01/01/2014,12/31/2014,97.78,,2014/2015,0.89,,16.37,,01/01/2014,12/31/2014
Elm Pl Ambulatory Surgical Center,45C0001065,1376650911,Abilene,TX,79605,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Memorial Hermann Endoscopy & Surgery Center North Houston,45C0001298,1376790691,Houston,TX,77090,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,5973,5973,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,80.00,,2014/2015,77.78,,74.60,,01/01/2014,12/31/2014
Pain Management Professionals of Baytown PLLC,45C0001537,1376852855,Baytown,TX,77521,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1233,0,0,1233,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgicare of South Austin,45C0001284,1386609964,Austin,TX,78745,2014,0.000,,0.000,,0.000,,0.000,,996.97,,01/01/2014,12/31/2014,Yes,,3129,1291,865,272,26,186,0,11,478,,01/01/2014,12/31/2014,88.00,,2014/2015,92.06,,94.83,,01/01/2014,12/31/2014
"Theda Oaks Gastroenterology & Endoscopy Center, LLC",45C0001351,1386657047,San Antonio,TX,78258,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3689,3689,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,88.57,,2014/2015,39.58,,31.25,,01/01/2014,12/31/2014
Baylor Surgicare at Granbury,45C0001471,1386882587,Granbury,TX,76048,2014,0.000,,0.000,,0.000,,0.000,,997.93,,01/01/2014,12/31/2014,Yes,,3734,1124,334,260,3,78,0,1745,190,,01/01/2014,12/31/2014,55.56,,2014/2015,83.33,,82.26,,01/01/2014,12/31/2014
Texas Health Craig Ranch Surgery Center LLC,45C0001552,1386983260,Mckinney,TX,75070,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1706,176,1,477,20,17,0,957,58,,01/01/2014,12/31/2014,96.91,,2014/2015,77.27,,100.0,,01/01/2014,12/31/2014
Mec Endoscopy LLC,45C0001325,1396011615,Houston,TX,77055,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,7847,7847,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Memorial Hermann Bay Area Endoscopy Center, LLC",45C0001194,1396175246,Houston,TX,77034,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,10507,10507,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,89.09,,2014/2015,71.88,,74.60,,01/01/2014,12/31/2014
Arlington Day Surgery Center Associates LTD,45C0001005,1396700407,Arlington,TX,76012,2014,0.555,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,2850,0,2850,0,0,0,0,0,0,,01/01/2014,12/31/2014,73.58,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgery Center of Arlington,45C0001268,1396722112,Arlington,TX,76015,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1815,8,0,478,0,130,0,1199,0,,01/01/2014,12/31/2014,94.25,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Baylor Surgicare at Garland,45C0001091,1396742029,Garland,TX,75042,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,5087,1776,3167,0,2,0,0,5,137,,01/01/2014,12/31/2014,100.0,,2014/2015,100.0,,4.76,,01/01/2014,12/31/2014
"Odessa East Loop Surgery Center ,LP",45C0001026,1396774535,Odessa,TX,79762,2014,0.000,,0.000,,0.000,,1.938,,,N/A (1),01/01/2014,12/31/2014,Yes,,1014,0,1014,0,0,0,0,0,0,,01/01/2014,12/31/2014,70.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"The Center for Sight, PA",45C0001158,1396824355,Lufkin,TX,75904,2014,0.000,,0.000,,0.000,,1.553,,,N/A (1),01/01/2014,12/31/2014,Yes,,1212,0,1212,0,0,0,0,0,0,,01/01/2014,12/31/2014,71.43,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Brazosport Eye Institute,45C0001058,1396870028,Lake Jackson,TX,77566,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,624,0,624,0,0,0,0,0,0,,01/01/2014,12/31/2014,83.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Stone Oak Surgery Center, LLC",45C0001531,1407144132,San Antonio,TX,78232,2014,0.000,,0.485,,0.000,,0.000,,983.05,,01/01/2014,12/31/2014,Yes,,5327,59,0,615,0,0,0,4653,0,,01/01/2014,12/31/2014,95.45,,2014/2015,100.0,,,N/A (5),01/01/2014,12/31/2014
Memorial Hermann Surgery Center Woodlands Parkway,45C0001149,1407165772,The Woodlands,TX,77380,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,6608,0,70,1485,11,0,0,3802,1240,,01/01/2014,12/31/2014,75.32,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Lake Woodlands Surgical Center,45C0001516,1407188220,The Woodlands,TX,77382,2014,0.000,,0.000,,0.000,,1.923,,971.83,,01/01/2014,12/31/2014,Yes,,837,27,7,127,35,33,0,608,0,,01/01/2014,12/31/2014,66.67,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
El Paso Day Surgery LLC,45C0001374,1407807050,El Paso,TX,79902,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,3015,0,2231,328,0,456,0,0,0,,01/01/2014,12/31/2014,68.18,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Wichita Falls Endoscopy Center,45C0001394,1407851090,Wichita Falls,TX,76301,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,7796,7796,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,90.32,,2014/2015,94.00,,72.90,,01/01/2014,12/31/2014
"Baylor Surgicare at Ennis, LLC",45C0001487,1417120684,Ennis,TX,75119,2014,,,,,,,,,,,,,Yes,,1806,1323,0,194,9,105,0,147,28,,01/01/2014,12/31/2014,57.81,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Bailey Square Surgery Center,45C0001004,1417912098,Austin,TX,78705,2014,0.000,,0.000,,0.000,,0.000,,821.78,,01/01/2014,12/31/2014,Yes,,5416,1823,2191,278,23,78,0,14,1009,,01/01/2014,12/31/2014,36.18,,2014/2015,71.43,,98.41,,01/01/2014,12/31/2014
"Hill Country Memorial Surgery Center, LLC",45C0001233,1427134998,Marble Falls,TX,78654,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1598,978,460,137,3,6,0,11,3,,01/01/2014,12/31/2014,33.93,,2014/2015,93.90,,95.71,,01/01/2014,12/31/2014
"Memorial Hermann Texas International Endoscopy Center, LLC",45C0001370,1427491547,Houston,TX,77030,2014,0.000,,0.000,,0.000,,0.883,,,N/A (1),01/01/2014,12/31/2014,Yes,,5055,5055,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,84.62,,2014/2015,74.60,,100.0,,01/01/2014,12/31/2014
Texarkana Surgery Center LP,45C0001185,1437155207,Texarkana,TX,75503,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,4105,613,1733,286,36,12,29,945,451,,01/01/2014,12/31/2014,64.06,,2014/2015,96.83,,84.31,,01/01/2014,12/31/2014
Medical Complex Surgery Center,45C0001501,1437325347,Tomball,TX,77375,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Southwest Endoscopy & Surgery Center,45C0001184,1447207857,Fort Worth,TX,76028,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,80.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Christus Santa Rosa Physicians Ambulatory Surgery Center-New Braunfels,45C0001365,1447212121,New Braunfels,TX,78130,2014,0.000,,0.000,,0.000,,1.983,,990.93,,01/01/2014,12/31/2014,Yes,,6253,3605,1050,766,6,7,0,669,150,,01/01/2014,12/31/2014,94.92,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Hmu Surgical Center, LLC",45C0001530,1447555982,Houston,TX,77027,2014,1.861,,0.000,,0.000,,0.000,,998.77,,01/01/2014,12/31/2014,Yes,,4655,0,0,0,0,4655,0,0,0,,01/01/2014,12/31/2014,93.44,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Beaumont Surgical Affiliates, LTD",45C0001240,1457378333,Beaumont,TX,77701,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,2558,1,2237,22,0,0,0,298,0,,01/01/2014,12/31/2014,79.65,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
D.B.A. Baylor Surgicare at Bedford,45C0001191,1467458513,Bedford,TX,76022,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,3419,4,0,472,1,254,1,2687,0,,01/01/2014,12/31/2014,85.90,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Fish Pond Surgery Center, LTD.",45C0001276,1477569069,Waco,TX,76710,2014,0.000,,0.000,,0.000,,2.481,,925.27,,01/01/2014,12/31/2014,Yes,,3111,0,1254,642,65,1043,0,107,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
San Antonio Gastroenterology Endoscopy Center,45C0001178,1487628301,San Antonio,TX,78212,2014,0.000,,0.000,,0.000,,2.247,,,N/A (1),01/01/2014,12/31/2014,Yes,,15171,15171,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,73.91,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Special Surgery of Houston,45C0001372,1487738324,Houston,TX,77055,2014,0.000,,0.000,,0.000,,1.435,,994.95,,01/01/2014,12/31/2014,Yes,,4135,2,7,1054,50,0,0,2923,99,,01/01/2014,12/31/2014,82.76,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Park Ventura Endoscopy Center,45C0001333,1497724942,Plano,TX,75093,2014,0.000,,0.000,,0.000,,2.259,,,N/A (5),01/01/2014,12/31/2014,Yes,,15290,15290,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,96.25,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Pearland Premier Surgery Center,45C0001418,1497767149,Pearland,TX,77584,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,83.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Doctors Surgery Center, Inc",45C0001169,1497869267,Nacogdoches,TX,75965,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,4037,0,4037,0,0,0,0,0,0,,01/01/2014,12/31/2014,87.50,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Mann Cataract Surgery Center,45C0001074,1508804451,Humble,TX,77338,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1402,0,1402,0,0,0,0,0,0,,01/01/2014,12/31/2014,,N/A (5),2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Memorial Hermann Surgery Center, Northwest",45C0001369,1508837899,Houston,TX,77008,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,7114,4243,480,150,15,104,0,2062,60,,01/01/2014,12/31/2014,28.00,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Dallas Endoscopy Center, LTD",45C0001400,1518943679,Dallas,TX,75205,2014,0.380,,0.000,,0.380,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,13355,13355,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
The Endoscopy Center of Texarkana,45C0001435,1528009453,Texarkana,TX,75503,2014,0.000,,0.000,,0.000,,0.568,,,N/A (5),01/01/2014,12/31/2014,Yes,,5707,5707,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,64.00,,2014/2015,74.88,,55.56,,01/01/2014,12/31/2014
Careos,45C0001211,1528049855,Austin,TX,78705,2014,0.000,,0.000,,0.000,,1.420,,,N/A (1),01/01/2014,12/31/2014,Yes,,1046,0,1046,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Hea Surgery Center PLLC,45C0001498,1528187432,Houston,TX,77025,2014,,,,,,,,,,,,,Yes,,8991,0,8991,0,0,0,0,0,0,,01/01/2014,12/31/2014,90.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Mesquite Tx Endoscopy ASC LLC,45C0001327,1528253523,Mesquite,TX,75150,2014,0.000,,0.000,,0.000,,3.175,,,N/A (5),01/01/2014,12/31/2014,Yes,,5790,5790,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,82.14,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Cp Surgery Center, LLC",45C0001262,1528339447,Austin,TX,78705,2014,0.000,,0.000,,0.000,,2.342,,986.55,,01/01/2014,12/31/2014,Yes,,2283,203,6,1223,68,0,0,750,33,,01/01/2014,12/31/2014,16.59,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
North Texas Team Care Surgery Center LLC,45C0001523,1528377678,Mesquite,TX,75150,2014,0.000,,0.000,,0.000,,0.000,,890.00,,01/01/2014,12/31/2014,Yes,,3174,3,0,296,47,0,0,2828,0,,01/01/2014,12/31/2014,15.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Fort Worth Endoscopy Center General Partnership,45C0001317,1538104724,Fort Worth,TX,76132,2014,0.000,,0.000,,0.000,,0.582,,,N/A (5),01/01/2014,12/31/2014,Yes,,9377,9377,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,52.94,,2014/2015,94.14,,39.66,,01/01/2014,12/31/2014
Eye Surgery Center of North Dallas,,1538579313,Carrollton,TX,75006,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Baylor Surgicare at Denton,45C0001257,1548238140,Denton,TX,76205,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,3192,0,785,1327,174,277,124,505,0,,01/01/2014,12/31/2014,96.81,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Dallas Surgi Center, Inc.",45C0001082,1548374267,Dallas,TX,75231,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1543,0,0,0,1543,0,0,0,0,,01/01/2014,12/31/2014,90.91,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Memorial Hermann Surgery Center, The Woodlands",45C0001406,1558331801,The Woodlands,TX,77380,2014,0.000,,0.000,,0.000,,1.362,,996.69,,01/01/2014,12/31/2014,Yes,,6030,1887,1,366,5,403,0,2603,765,,01/01/2014,12/31/2014,87.58,,2014/2015,57.14,,87.76,,01/01/2014,12/31/2014
"Babcock Surgical Center, LLC",45C0001525,1558517821,San Antonio,TX,78229,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Surgcenter of West Texas LLC,45C0001560,1558785345,El Paso,TX,79902,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"Paris Surgery Center, LLC",45C0001559,1558792598,Paris,TX,75460,2014,1.669,,1.669,,3.339,,3.339,,966.67,,01/01/2014,12/31/2014,Yes,,865,0,482,360,0,23,0,0,0,,01/01/2014,12/31/2014,64.29,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
South Plains Endoscopy Center,45C0001161,1568419323,Lubbock,TX,79410,2014,0.000,,0.778,,0.000,,3.891,,,N/A (5),01/01/2014,12/31/2014,Yes,,5506,5506,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,82.76,,2014/2015,96.07,,87.07,,01/01/2014,12/31/2014
Nw Ambulatory Surgery Center LLP,45C0001542,1568423945,Houston,TX,77040,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,5441,48,0,2844,89,0,0,2285,175,,01/01/2014,12/31/2014,68.18,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgery Center of Plano,45C0001172,1568427151,Plano,TX,75075,2014,0.000,,0.000,,0.000,,1.600,,991.07,,01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,97.30,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgery Center of Plano,45C0001198,1568427151,Plano,TX,75093,2014,0.000,,0.000,,0.000,,1.600,,991.07,,01/01/2014,12/31/2014,Yes,,3386,1779,457,551,190,7,0,47,355,,01/01/2014,12/31/2014,,N/A (5),2014/2015,95.24,,88.14,,01/01/2014,12/31/2014
"Cedar Park Surgery Center, LLC",45C0001517,1568776615,Cedar Park,TX,78613,2014,0.000,,0.000,,0.000,,0.692,,947.37,,01/01/2014,12/31/2014,Yes,,7474,462,0,887,8,281,0,5836,0,,01/01/2014,12/31/2014,65.09,,2014/2015,43.13,,100.0,,01/01/2014,12/31/2014
Physicians Surgical Center of Fort Worth,45C0001357,1578530226,Fort Worth,TX,76107,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,12154,2506,879,928,26,130,67,7388,230,,01/01/2014,12/31/2014,31.43,,2014/2015,0.08,,1.05,,01/01/2014,12/31/2014
Kelsey-Seybold ASC,45C0001260,1578593224,Houston,TX,77025,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,64.25,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Kelsey-Seybold ASC,45C0001489,1578593224,Houston,TX,77014,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,25652,18107,2637,1674,23,57,0,3022,132,,01/01/2014,12/31/2014,40.91,,2014/2015,80.21,,84.38,,01/01/2014,12/31/2014
"Spinecare, L.L.P.",45C0001429,1578610564,Corpus Christi,TX,78414,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,1840,0,0,1840,0,0,0,0,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Sherman Surgery Center,45C0001431,1578641528,Sherman,TX,75090,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,81,0,45,21,15,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgeyecare General Partnership,45C0001083,1578679726,Dallas,TX,75231,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2474,0,2474,0,0,0,0,0,0,,01/01/2014,12/31/2014,46.15,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Enzo Medical Services,LP",45C0001550,1578817847,The Woodlands,TX,77381,2014,0.000,,0.000,,0.000,,0.000,,980.89,,01/01/2014,12/31/2014,Yes,,2202,928,1,249,26,71,0,872,55,,01/01/2014,12/31/2014,18.64,,2014/2015,21.43,,25.20,,01/01/2014,12/31/2014
Greenville Surgery Center LTD,45C0001063,1588629604,Dallas,TX,75231,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,640,0,556,0,84,0,0,0,0,,01/01/2014,12/31/2014,85.92,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Md Aesthetic Surgery Center,45C0001342,1588636278,Houston,TX,77004,2014,0.000,,0.000,,0.000,,0.000,,981.13,,01/01/2014,12/31/2014,Yes,,5222,0,1667,1481,0,2,0,2038,34,,01/01/2014,12/31/2014,56.04,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Memorial Hermann Surgery Center Memorial City LLC,45C0001513,1598096802,Houston,TX,77043,2014,0.000,,0.000,,0.000,,0.000,,989.93,,01/01/2014,12/31/2014,Yes,,5205,722,21,285,32,369,0,3250,526,,01/01/2014,12/31/2014,21.60,,2014/2015,88.57,,100.0,,01/01/2014,12/31/2014
United Surgery Center-Se,45C0001077,1598769481,Houston,TX,77034,2014,0.000,,0.000,,0.000,,0.000,,996.15,,01/01/2014,12/31/2014,Yes,,3296,50,0,790,14,0,0,2038,404,,01/01/2014,12/31/2014,29.41,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
San Antonio Tx Endoscopy ASC LP,45C0001529,1609153329,San Antonio,TX,78229,2014,0.000,,0.000,,0.000,,1.549,,,N/A (1),01/01/2014,12/31/2014,Yes,,7691,7691,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,92.59,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
"Baylor Surgicare at Plano Parkway, LLC",45C0001214,1609179415,Plano,TX,75093,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,1355,0,0,590,0,0,0,765,0,,01/01/2014,12/31/2014,100.0,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgical Caregivers of Fort Worth LLC,45C0001011,1609831700,Fort Worth,TX,76104,2014,0.000,,0.000,,0.000,,0.000,,950.00,,01/01/2014,12/31/2014,Yes,,5577,50,4380,830,75,2,0,237,3,,01/01/2014,12/31/2014,56.73,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
North Texas Surgery Center,45C0001205,1609870336,Dallas,TX,75237,2014,0.000,,0.000,,0.000,,0.000,,980.20,,01/01/2014,12/31/2014,Yes,,4065,1011,2171,300,5,100,0,448,30,,01/01/2014,12/31/2014,79.28,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Robert D. Wilcox MD PA,45C0001273,1609932557,Plano,TX,75093,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Surgery Center of Richardson,45C0001341,1609963768,Richardson,TX,75080,2014,,,,,,,,,,,,,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,83.33,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Woodlands Endoscopy Center,45C0001457,1619065273,The Woodlands,TX,77384,2014,0.000,,0.000,,0.000,,1.376,,,N/A (5),01/01/2014,12/31/2014,Yes,,5274,5274,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,100.0,,2014/2015,33.33,,100.0,,01/01/2014,12/31/2014
"Cleburne Surgical Center, LLC",45C0001472,1619093218,Cleburne,TX,76033,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,5453,500,456,604,3,0,0,3860,30,,01/01/2014,12/31/2014,86.00,,2014/2015,63.64,,88.89,,01/01/2014,12/31/2014
San Marcos ASC LLC,45C0001279,1619218096,San Marcos,TX,78666,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,4343,24,1073,521,3,30,0,2589,103,,01/01/2014,12/31/2014,94.20,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Kingwood Surgery Center LLC,45C0001528,1619265295,Humble,TX,77338,2014,0.000,,0.000,,0.000,,0.000,,846.15,,01/01/2014,12/31/2014,Yes,,6710,6710,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,97.37,,2014/2015,68.25,,0.00,N/A (5),01/01/2014,12/31/2014
"Austin Diagnostic Clinic, PA",45C0001378,1619923950,Austin,TX,78731,2014,0.000,,0.502,,0.000,,1.003,,992.70,,01/01/2014,12/31/2014,Yes,,6566,3620,571,146,0,419,328,1202,280,,01/01/2014,12/31/2014,88.33,,2014/2015,91.78,,100.0,,01/01/2014,12/31/2014
Doctors Outpatient Surgicenter,45C0001009,1619971504,Pasadena,TX,77504,2014,0.000,,0.000,,0.000,,0.520,,1000.0,,01/01/2014,12/31/2014,Yes,,7510,2717,3569,53,3,303,0,847,18,,01/01/2014,12/31/2014,88.24,,2014/2015,73.02,,65.08,,01/01/2014,12/31/2014
